Date,Close,Volume,Open,High,Low
2011-06-10,5.572,7832660,5.504,5.6598,5.47
2011-06-13,5.686,8566960,5.614,5.776,5.576
2011-06-14,5.72,7866000,5.708,5.94,5.704
2011-06-15,5.464,6723390,5.688,5.69,5.414
2011-06-16,5.3,9210620,5.534,5.6,5.148
2011-06-17,5.3,8568325,5.374,5.54,5.228
2011-06-20,5.202,7688545,5.258,5.292,5.1
2011-06-21,5.506,7479815,5.248,5.546,5.2
2011-06-22,5.442,7377665,5.474,5.65,5.42
2011-06-23,5.542,5849950,5.44,5.544,5.242
2011-06-24,5.513,18042290,5.528,5.594,5.452
2011-06-27,5.492,9046835,5.546,5.656,5.462
2011-06-28,5.622,4445660,5.558,5.65,5.534
2011-06-29,5.658,7296040,5.7,5.818,5.614
2011-06-30,5.826,4732170,5.7,5.866,5.68
2011-07-01,5.804,4274195,5.814,5.92,5.76
2011-07-05,5.828,4979945,5.804,5.904,5.742
2011-07-06,5.792,4634445,5.828,5.828,5.71
2011-07-07,5.946,6639105,5.828,6.0,5.802
2011-07-08,5.762,6202900,5.978,5.978,5.718
2011-07-11,5.67,4878515,5.68,5.706,5.6
2011-07-12,5.634,5226530,5.674,5.818,5.6
2011-07-13,5.728,5329710,5.686,5.806,5.58
2011-07-14,5.522,5794655,5.706,5.792,5.45
2011-07-15,5.516,3544770,5.558,5.566,5.48
2011-07-18,5.446,4259385,5.468,5.49,5.326
2011-07-19,5.578,5130240,5.516,5.622,5.508
2011-07-20,5.738,15241470,5.6,6.088,5.56
2011-07-21,5.74,5057030,5.782,5.832,5.62
2011-07-22,5.858,2917340,5.74,5.908,5.7102
2011-07-25,5.698,3366455,5.802,5.85,5.688
2011-07-26,5.6,3802660,5.662,5.754,5.594
2011-07-27,5.528,4792015,5.7,5.7,5.502
2011-07-28,5.634,4693145,5.52,5.71,5.508
2011-07-29,5.634,4740635,5.56,5.68,5.5
2011-08-01,5.754,5824110,5.734,5.796,5.642
2011-08-02,5.468,7746100,5.738,5.84,5.454
2011-08-03,5.44,8951050,5.5,5.566,5.2672
2011-08-04,4.95,15321165,5.302,5.378,4.934
2011-08-05,4.848,9821880,4.998,5.076,4.566
2011-08-08,4.728,13042360,4.62,4.888,4.62
2011-08-09,5.012,6666910,4.83,5.09,4.74
2011-08-10,4.764,7820735,5.088,5.088,4.726
2011-08-11,5.06,4149420,4.808,5.15,4.8
2011-08-12,5.262,5045100,5.12,5.428,5.072
2011-08-15,5.246,3692860,5.324,5.35,5.186
2011-08-16,5.22,2688440,5.226,5.308,5.166
2011-08-17,5.166,3204610,5.278,5.33,5.102
2011-08-18,4.852,5282845,5.0,5.03,4.694
2011-08-19,4.46,6875385,4.772,4.844,4.4
2011-08-22,4.39,4930405,4.622,4.76,4.336
2011-08-23,4.592,4344840,4.386,4.622,4.3
2011-08-24,4.774,3421190,4.62,4.786,4.566
2011-08-25,4.622,3398700,4.774,4.774,4.58
2011-08-26,4.746,3808780,4.542,4.79,4.414
2011-08-29,4.942,4016510,4.844,4.97,4.804
2011-08-30,4.926,1830795,4.9,4.954,4.818
2011-08-31,4.948,4118675,4.96,5.1,4.856
2011-09-01,4.8,4240425,4.932,4.974,4.767
2011-09-02,4.614,3849155,4.732,4.798,4.536
2011-09-06,4.588,4048800,4.5,4.64,4.458
2011-09-07,4.768,2295930,4.678,4.8,4.656
2011-09-08,4.722,2528485,4.716,4.806,4.656
2011-09-09,4.594,3346315,4.674,4.714,4.51
2011-09-12,4.576,2832855,4.5,4.662,4.49
2011-09-13,4.816,3632305,4.602,4.82,4.55
2011-09-14,4.868,4153885,4.85,4.968,4.758
2011-09-15,4.964,2812560,4.916,4.986,4.866
2011-09-16,5.16,7000465,4.956,5.168,4.898
2011-09-19,5.154,5786745,4.99,5.162,4.764
2011-09-20,5.202,5901755,5.196,5.32,5.134
2011-09-21,5.17,4937885,5.19,5.39,5.14
2011-09-22,5.126,3879010,5.128,5.222,4.976
2011-09-23,5.276,5781640,5.098,5.324,5.07
2011-09-26,5.104,4672075,5.304,5.304,4.98
2011-09-27,5.238,3372145,5.2,5.398,5.114
2011-09-28,4.918,3616030,5.2,5.3,4.902
2011-09-29,4.824,4647725,5.144,5.164,4.71
2011-09-30,4.878,6680270,4.96,4.978,4.698
2011-10-03,4.746,5115650,4.99,5.0,4.65
2011-10-04,4.732,6001070,4.658,4.864,4.586
2011-10-05,5.074,6145340,4.806,5.167,4.67
2011-10-06,5.392,8845130,5.074,5.52,5.004
2011-10-07,5.398,6557740,5.396,5.52,5.21
2011-10-10,5.576,4617080,5.462,5.636,5.4
2011-10-11,5.522,2878015,5.502,5.554,5.418
2011-10-12,5.56,5616820,5.45,5.6,5.44
2011-10-13,5.588,5217065,5.526,5.694,5.488
2011-10-14,5.61,7002345,5.6,5.71,5.452
2011-10-17,5.484,3772195,5.572,5.6,5.452
2011-10-18,5.668,4973450,5.46,5.6855,5.342
2011-10-19,5.514,3964250,5.604,5.612,5.46
2011-10-20,5.468,4998235,5.488,5.494,5.4
2011-10-21,5.606,5712750,5.48,5.66,5.402
2011-10-24,5.71,4702750,5.574,5.778,5.55
2011-10-25,5.65,3271855,5.646,5.772,5.56
2011-10-26,5.596,2552395,5.638,5.674,5.48
2011-10-27,5.752,4346675,5.668,5.79,5.622
2011-10-28,5.974,6319865,5.7,6.0,5.602
2011-10-31,5.874,5669845,5.9,5.902,5.75
2011-11-01,5.776,3175875,5.678,5.784,5.6
2011-11-02,5.742,4374380,5.8,5.852,5.65
2011-11-03,6.492,12547615,6.0,6.498,5.906
2011-11-04,6.462,15164285,6.292,6.48,6.102
2011-11-07,6.254,6329345,6.328,6.4,6.15
2011-11-08,6.368,5839150,6.274,6.4,6.144
2011-11-09,6.176,4768280,6.174,6.298,6.06
2011-11-10,6.266,3736365,6.188,6.3,6.13
2011-11-11,6.728,19341380,6.38,6.9,6.114
2011-11-14,6.644,6628280,6.6,6.708,6.524
2011-11-15,6.786,4454025,6.584,6.88,6.546
2011-11-16,6.988,9164280,6.696,7.0,6.6806
2011-11-17,6.736,6746325,6.9,6.98,6.638
2011-11-18,6.52,4512645,6.728,6.822,6.508
2011-11-21,6.352,5157620,6.488,6.488,6.21
2011-11-22,6.414,3662590,6.352,6.558,6.21
2011-11-23,6.29,2258565,6.352,6.41,6.25
2011-11-25,6.332,1197975,6.31,6.482,6.216
2011-11-28,6.512,3405620,6.4,6.656,6.362
2011-11-29,6.35,2955270,6.498,6.614,6.326
2011-11-30,6.548,3801325,6.5,6.586,6.444
2011-12-01,6.52,5150540,6.514,6.798,6.396
2011-12-02,6.66,4013590,6.566,6.738,6.48
2011-12-05,6.884,5800250,6.706,7.0,6.686
2011-12-06,6.974,4758550,6.84,6.996,6.8062
2011-12-07,6.838,3371220,6.926,6.978,6.76
2011-12-08,6.178,16524420,6.168,6.33,5.922
2011-12-09,6.208,6197220,6.108,6.224,6.056
2011-12-12,6.082,3793285,6.088,6.124,6.004
2011-12-13,5.89,4970075,6.114,6.186,5.7822
2011-12-14,5.706,5819200,5.9,5.936,5.6
2011-12-15,5.724,3501305,5.734,5.834,5.624
2011-12-16,5.6,5148025,5.758,5.786,5.596
2011-12-19,5.55,4934760,5.618,5.7,5.474
2011-12-20,5.58,4216405,5.61,5.69,5.543
2011-12-21,5.514,8527035,5.582,5.614,5.206
2011-12-22,5.554,5046510,5.52,5.61,5.46
2011-12-23,5.58,2956950,5.6,5.6,5.504
2011-12-27,5.714,3887015,5.532,5.754,5.528
2011-12-28,5.702,2875690,5.798,5.8479,5.608
2011-12-29,5.746,2440750,5.718,5.868,5.7098
2011-12-30,5.712,1698300,5.698,5.796,5.65
2012-01-03,5.616,4640260,5.788,5.9,5.53
2012-01-04,5.542,3150180,5.642,5.734,5.5
2012-01-05,5.424,5027160,5.552,5.586,5.37
2012-01-06,5.382,4931435,5.44,5.558,5.282
2012-01-09,5.45,4484755,5.4,5.498,5.224
2012-01-10,5.524,3357660,5.488,5.552,5.45
2012-01-11,5.646,3360695,5.524,5.676,5.46
2012-01-12,5.65,3646500,5.696,5.724,5.561
2012-01-13,4.558,27333645,5.68,5.7,4.528
2012-01-17,5.32,23256455,5.324,5.468,5.282
2012-01-18,5.362,6300915,5.338,5.376,5.25
2012-01-19,5.352,6231110,5.438,5.548,5.322
2012-01-20,5.32,3311445,5.38,5.4,5.28
2012-01-23,5.354,2972665,5.362,5.442,5.32
2012-01-24,5.484,4289570,5.326,5.536,5.288
2012-01-25,5.594,3055560,5.454,5.602,5.41
2012-01-26,5.788,6355140,5.614,5.916,5.6
2012-01-27,5.866,3741805,5.7,5.944,5.7
2012-01-30,5.914,3644895,5.898,5.922,5.7058
2012-01-31,5.814,4781565,5.98,6.0,5.774
2012-02-01,5.916,2614620,5.814,5.94,5.8
2012-02-02,6.05,4028050,5.944,6.176,5.921
2012-02-03,6.23,3822090,6.082,6.266,6.05
2012-02-06,6.36,3259305,6.22,6.38,6.21
2012-02-07,6.32,5107515,6.36,6.36,6.164
2012-02-08,6.386,3118130,6.32,6.402,6.258
2012-02-09,6.516,6384720,6.4,6.58,6.286
2012-02-10,6.22,9370695,6.452,6.4539,5.968
2012-02-13,6.298,5789290,6.31,6.412,6.18
2012-02-14,6.634,9053045,6.348,6.758,6.28
2012-02-15,6.72,13785310,6.62,6.882,6.454
2012-02-16,6.836,11098180,6.7,6.902,6.508
2012-02-17,6.994,6883225,6.798,6.994,6.7
2012-02-21,6.9,5678940,6.974,6.974,6.762
2012-02-22,6.844,8272850,6.9,6.944,6.5
2012-02-23,6.906,4101725,6.798,6.994,6.712
2012-02-24,6.75,4798830,6.846,6.904,6.654
2012-02-27,6.724,3029765,6.682,6.8,6.6
2012-02-28,6.762,3060915,6.728,6.888,6.634
2012-02-29,6.682,2677920,6.762,6.824,6.628
2012-03-01,6.882,3517175,6.702,6.9,6.661
2012-03-02,6.808,2749855,6.88,6.9,6.742
2012-03-05,6.754,2334690,6.87,6.88,6.692
2012-03-06,6.622,2868745,6.65,6.656,6.524
2012-03-07,6.624,1824155,6.624,6.663,6.5821
2012-03-08,6.614,3166335,6.622,6.698,6.608
2012-03-09,6.948,7766615,6.64,7.062,6.64
2012-03-12,7.202,9812000,6.938,7.258,6.92
2012-03-13,7.218,5007715,7.302,7.318,7.1
2012-03-14,7.058,4257320,7.2,7.2,6.96
2012-03-15,7.0,2857980,7.056,7.096,6.956
2012-03-16,7.064,3641680,6.98,7.178,6.966
2012-03-19,6.996,5077930,7.052,7.064,6.908
2012-03-20,6.992,2835005,6.996,7.04,6.914
2012-03-21,7.03,3035515,6.988,7.06,6.92
2012-03-22,6.88,2611765,6.994,7.03,6.86
2012-03-23,6.816,5852835,6.852,6.926,6.63
2012-03-26,7.48,15702350,7.118,7.618,7.0083
2012-03-27,7.588,12695890,7.432,7.99,7.406
2012-03-28,7.57,4774350,7.556,7.688,7.4221
2012-03-29,7.466,3981675,7.638,7.638,7.406
2012-03-30,7.448,4431560,7.504,7.588,7.336
2012-04-02,7.316,5140020,7.466,7.594,7.306
2012-04-03,7.602,5374020,7.34,7.6939,7.334
2012-04-04,7.0,22406545,7.054,7.098,6.938
2012-04-05,6.896,7546890,7.02,7.088,6.882
2012-04-09,6.63,8275775,6.82,6.858,6.62
2012-04-10,6.492,9238345,6.63,6.7698,6.42
2012-04-11,6.618,5526735,6.648,6.658,6.402
2012-04-12,6.688,5169020,6.754,6.896,6.584
2012-04-13,6.718,3247900,6.788,6.808,6.57
2012-04-16,6.45,5486020,6.682,6.74,6.418
2012-04-17,6.448,5574815,6.486,6.614,6.408
2012-04-18,6.532,4115480,6.418,6.55,6.306
2012-04-19,6.632,3874390,6.55,6.686,6.5
2012-04-20,6.632,4108870,6.628,6.746,6.588
2012-04-23,6.388,4453575,6.572,6.594,6.342
2012-04-24,6.364,3372335,6.364,6.44,6.2
2012-04-25,6.582,3560665,6.414,6.598,6.414
2012-04-26,6.698,2122595,6.592,6.704,6.582
2012-04-27,6.668,2945025,6.72,6.726,6.582
2012-04-30,6.626,2069240,6.654,6.672,6.516
2012-05-01,6.756,3294735,6.626,6.842,6.626
2012-05-02,6.788,2486255,6.7,6.878,6.678
2012-05-03,6.492,4196940,6.782,6.8,6.426
2012-05-04,6.366,6236430,6.464,6.492,6.28
2012-05-07,6.494,5789845,6.392,6.516,6.322
2012-05-08,6.038,15485900,6.5,6.5456,5.874
2012-05-09,6.012,9640615,6.06,6.154,5.952
2012-05-10,6.592,27781505,6.594,6.936,6.48
2012-05-11,6.45,6105025,6.498,6.688,6.432
2012-05-14,6.012,6903710,6.384,6.426,6.01
2012-05-15,5.886,7927660,6.052,6.192,5.844
2012-05-16,5.836,6280920,5.916,6.036,5.776
2012-05-17,5.714,5744590,5.86,5.958,5.648
2012-05-18,5.512,8082435,5.674,5.692,5.366
2012-05-21,5.754,7375850,5.516,5.852,5.424
2012-05-22,6.158,11830850,6.02,6.268,6.0
2012-05-23,6.204,6101745,6.112,6.21,5.9
2012-05-24,6.064,5377600,6.25,6.25,5.938
2012-05-25,5.962,3785045,6.032,6.0815,5.84
2012-05-29,6.338,8236895,6.002,6.386,6.002
2012-05-30,6.082,6535705,6.216,6.284,6.048
2012-05-31,5.9,5591825,6.014,6.058,5.75
2012-06-01,5.63,4428550,5.706,5.832,5.552
2012-06-04,5.576,5154170,5.606,5.682,5.422
2012-06-05,5.582,3154425,5.568,5.678,5.512
2012-06-06,5.844,4549040,5.64,5.89,5.628
2012-06-07,5.786,2460075,5.962,5.974,5.77
2012-06-08,6.016,4397045,5.772,6.038,5.6295
2012-06-11,5.824,3176585,6.062,6.2,5.7917
2012-06-12,5.932,2844970,5.846,5.968,5.762
2012-06-13,5.954,4221855,5.91,6.128,5.894
2012-06-14,5.878,4360805,6.036,6.13,5.724
2012-06-15,5.982,3232970,5.878,5.99,5.762
2012-06-18,6.368,6283980,5.988,6.466,5.9
2012-06-19,6.418,4554145,6.404,6.5319,6.3
2012-06-20,6.756,17111710,6.7,6.9,6.642
2012-06-21,6.438,9445475,6.852,6.856,6.368
2012-06-22,6.757,15048900,6.52,6.796,6.492
2012-06-25,6.622,7475870,6.788,6.824,6.55
2012-06-26,6.322,13069245,6.41,6.47,6.278
2012-06-27,6.392,5235970,6.38,6.489,6.314
2012-06-28,6.282,4570200,6.38,6.422,6.124
2012-06-29,6.258,5628520,6.56,6.56,6.2
2012-07-02,6.08,6537645,6.27,6.3599,6.038
2012-07-03,6.132,4735640,6.12,6.2,6.08
2012-07-05,6.246,6268830,6.162,6.334,6.16
2012-07-06,6.198,3922305,6.198,6.346,6.16
2012-07-09,6.298,4534575,6.188,6.366,6.134
2012-07-10,6.254,3791760,6.308,6.496,6.178
2012-07-11,6.302,3192580,6.314,6.336,6.202
2012-07-12,6.54,5628350,6.258,6.602,6.16
2012-07-13,6.85,6522560,6.594,6.88,6.566
2012-07-16,7.192,8719540,6.864,7.2,6.78
2012-07-17,6.67,12846065,7.0,7.042,6.476
2012-07-18,6.43,14409420,6.284,6.734,6.212
2012-07-19,6.454,7179390,6.544,6.63,6.408
2012-07-20,6.358,7842330,6.414,6.45,6.25
2012-07-23,6.132,6933215,6.21,6.26,6.124
2012-07-24,5.968,7501255,6.132,6.208,5.924
2012-07-25,5.79,14107330,5.984,5.996,5.75
2012-07-26,5.626,11311025,5.98,6.0,5.528
2012-07-27,5.902,8364840,5.742,5.932,5.62
2012-07-30,5.47,10326000,5.902,6.0496,5.442
2012-07-31,5.484,7875300,5.508,5.594,5.47
2012-08-01,5.25,7959940,5.598,5.598,5.206
2012-08-02,5.22,6525080,5.368,5.37,5.104
2012-08-03,5.454,6047350,5.38,5.51,5.348
2012-08-06,5.654,7640845,5.51,5.74,5.51
2012-08-07,6.05,11935920,5.754,6.18,5.7
2012-08-08,5.818,6544475,5.98,6.0,5.718
2012-08-09,5.882,3358040,5.904,6.0,5.826
2012-08-10,5.988,3536950,5.862,5.988,5.862
2012-08-13,6.234,4350250,5.938,6.26,5.8202
2012-08-14,5.884,3966680,6.15,6.234,5.852
2012-08-15,5.88,2626925,5.878,5.94,5.762
2012-08-16,6.06,3344865,5.906,6.078,5.9
2012-08-17,6.002,2540610,6.058,6.142,5.996
2012-08-20,5.902,5895040,6.03,6.078,5.82
2012-08-21,5.822,3807580,5.916,6.0,5.8
2012-08-22,5.99,3877450,5.802,6.008,5.802
2012-08-23,6.146,7354870,6.0,6.17,5.93
2012-08-24,5.9,7146555,6.012,6.048,5.882
2012-08-27,5.664,6751625,5.914,5.94,5.634
2012-08-28,5.738,7013280,5.68,5.875,5.6
2012-08-29,5.682,4194415,5.698,5.728,5.604
2012-08-30,5.682,3281535,5.72,5.748,5.62
2012-08-31,5.704,2698680,5.722,5.768,5.64
2012-09-04,5.628,3762480,5.704,5.798,5.58
2012-09-05,5.588,3196135,5.602,5.7,5.562
2012-09-06,5.71,4208215,5.6,5.78,5.58
2012-09-07,5.87,4765755,5.71,5.914,5.7
2012-09-10,5.474,7415075,5.84,5.87,5.459
2012-09-11,5.56,5073355,5.552,5.632,5.48
2012-09-12,5.656,5644170,5.58,5.716,5.56
2012-09-13,5.896,7393430,5.714,5.9,5.696
2012-09-14,6.078,7682845,6.0,6.13,5.93
2012-09-17,6.508,16063705,6.47,6.556,6.302
2012-09-18,6.268,8942400,6.376,6.38,6.136
2012-09-19,6.21,5242285,6.2,6.348,6.188
2012-09-20,6.18,4561860,6.186,6.3,6.136
2012-09-21,6.004,9349850,6.22,6.298,5.908
2012-09-24,6.132,6507020,5.902,6.206,5.88
2012-09-25,5.532,28350340,5.724,5.896,5.506
2012-09-26,5.508,7635880,5.532,5.68,5.496
2012-09-27,5.698,8790765,5.564,5.708,5.52
2012-09-28,5.856,21713445,5.746,5.978,5.722
2012-10-01,5.832,4421525,5.9,5.978,5.8
2012-10-02,5.96,3644845,5.856,5.978,5.8
2012-10-03,5.86,5248590,5.95,5.99,5.848
2012-10-04,5.88,7706035,6.0,6.02,5.73
2012-10-05,5.778,4691795,5.94,5.962,5.736
2012-10-08,5.85,4448395,5.772,5.88,5.7222
2012-10-09,5.674,5960460,5.824,5.824,5.65
2012-10-10,5.68,2517815,5.678,5.744,5.602
2012-10-11,5.664,2252855,5.788,5.796,5.65
2012-10-12,5.528,4937675,5.664,5.746,5.5
2012-10-15,5.466,7343335,5.604,5.61,5.372
2012-10-16,5.612,2396240,5.534,5.618,5.468
2012-10-17,5.7638,3339815,5.65,5.768,5.56
2012-10-18,5.608,3704735,5.798,5.798,5.556
2012-10-19,5.548,5136510,5.566,5.64,5.46
2012-10-22,5.57,2350990,5.598,5.6,5.472
2012-10-23,5.678,3744990,5.476,5.712,5.474
2012-10-24,5.484,5081840,5.704,5.704,5.45
2012-10-25,5.504,2888430,5.56,5.56,5.49
2012-10-26,5.476,2386525,5.506,5.56,5.404
2012-10-31,5.6263,3875710,5.54,5.67,5.474
2012-11-01,5.8491,5120270,5.65,5.898,5.64
2012-11-02,5.7836,5151325,5.854,5.91,5.71
2012-11-05,6.3,10243835,5.96,6.316,5.866
2012-11-06,6.23,11618715,6.122,6.24,5.99
2012-11-07,6.308,8572345,6.2,6.41,6.162
2012-11-08,6.262,6369930,6.202,6.376,6.188
2012-11-09,6.064,4314640,6.12,6.186,5.97
2012-11-12,6.214,2779480,6.058,6.284,6.032
2012-11-13,6.3229,4991315,6.258,6.4,6.144
2012-11-14,6.276,4356075,6.392,6.424,6.2408
2012-11-15,6.164,4919205,6.26,6.288,6.1
2012-11-16,6.368,4543250,6.23,6.4,6.118
2012-11-19,6.584,6960840,6.414,6.65,6.368
2012-11-20,6.6,4612135,6.56,6.62,6.382
2012-11-21,6.494,4815665,6.522,6.694,6.4572
2012-11-23,6.426,2151060,6.52,6.566,6.34
2012-11-26,6.454,2478695,6.42,6.46,6.324
2012-11-27,6.43,4553850,6.426,6.532,6.304
2012-11-28,6.646,7625995,6.4,6.858,6.382
2012-11-29,6.738,5516575,6.688,6.8,6.574
2012-11-30,6.764,7101420,6.726,6.856,6.602
2012-12-03,6.924,10428195,6.778,7.0,6.7
2012-12-04,6.78,6316200,6.816,6.96,6.71
2012-12-05,6.742,3307430,6.764,6.838,6.716
2012-12-06,6.78,3286280,6.764,6.96,6.7
2012-12-07,6.834,3321930,6.86,6.898,6.77
2012-12-10,6.914,4648755,6.886,6.96,6.836
2012-12-11,7.056,7861550,6.92,7.1,6.892
2012-12-12,7.052,10318635,7.042,7.16,6.99
2012-12-13,6.722,10753120,7.052,7.06,6.55
2012-12-14,6.762,5113715,6.756,6.88,6.718
2012-12-17,6.88,4124045,6.754,6.9,6.75
2012-12-18,6.918,7769180,6.852,7.014,6.852
2012-12-19,6.922,6347655,6.95,7.052,6.904
2012-12-20,6.886,4605970,6.902,6.9576,6.81
2012-12-21,6.8,7461530,6.788,6.834,6.716
2012-12-24,6.856,1878980,6.728,6.87,6.71
2012-12-26,6.718,3006920,6.792,6.9,6.7
2012-12-27,6.738,2805425,6.7,6.782,6.6
2012-12-28,6.644,2070175,6.676,6.73,6.604
2012-12-31,6.774,2974230,6.6,6.794,6.6
2013-01-02,7.072,5973550,7.0,7.09,6.941
2013-01-03,6.954,3709705,7.036,7.09,6.95
2013-01-04,6.88,3369965,6.96,6.96,6.784
2013-01-07,6.868,2209545,6.96,6.96,6.78
2013-01-08,6.736,6418715,6.9,6.9,6.622
2013-01-09,6.728,3489895,6.802,6.838,6.68
2013-01-10,6.706,4612025,6.774,6.798,6.676
2013-01-11,6.582,7814870,6.808,6.808,6.422
2013-01-14,6.652,4625090,6.616,6.676,6.57
2013-01-15,6.78,8119225,6.622,6.85,6.616
2013-01-16,6.82,6890690,6.77,6.846,6.746
2013-01-17,6.876,7183020,6.832,6.97,6.784
2013-01-18,6.904,17775370,6.948,6.956,6.764
2013-01-22,7.038,9600655,6.912,7.11,6.852
2013-01-23,7.2,7817260,7.004,7.248,6.992
2013-01-24,7.398,9851945,7.2,7.544,7.168
2013-01-25,7.396,6438515,7.4,7.508,7.36
2013-01-28,7.606,9929460,7.372,7.742,7.372
2013-01-29,7.59,7132515,7.62,7.688,7.426
2013-01-30,7.504,4840490,7.57,7.6,7.486
2013-01-31,7.502,4506590,7.574,7.574,7.386
2013-02-01,7.66,5501950,7.634,7.7,7.524
2013-02-04,7.548,5639945,7.68,7.684,7.518
2013-02-05,7.626,6550960,7.6,7.73,7.536
2013-02-06,7.834,9464240,7.636,7.878,7.5809
2013-02-07,7.896,5982605,7.838,7.936,7.79
2013-02-08,7.848,5697665,7.89,8.0,7.828
2013-02-11,7.684,16328240,7.596,7.83,7.5
2013-02-12,7.578,11302045,7.69,7.774,7.458
2013-02-13,7.69,4834010,7.66,7.8,7.61
2013-02-14,7.66,4953200,7.728,7.75,7.642
2013-02-15,7.408,10087245,7.7,7.702,7.39
2013-02-19,7.856,13502700,7.472,7.858,7.462
2013-02-20,7.708,15391855,7.86,7.93,7.692
2013-02-21,7.032,45179050,7.298,7.478,6.908
2013-02-22,7.222,12726115,7.144,7.278,7.12
2013-02-25,6.876,14446185,7.23,7.35,6.868
2013-02-26,6.886,13814500,6.892,6.992,6.76
2013-02-27,7.02,9795645,6.882,7.082,6.88
2013-02-28,6.966,9824465,7.178,7.22,6.874
2013-03-01,6.93,7732000,7.0,7.016,6.85
2013-03-04,7.116,8788300,6.954,7.166,6.94
2013-03-05,7.33,10434845,7.2,7.384,7.158
2013-03-06,7.538,5749625,7.402,7.576,7.394
2013-03-07,7.646,5791270,7.546,7.73,7.376
2013-03-08,7.694,4560260,7.612,7.888,7.472
2013-03-11,7.82,7897200,7.774,7.888,7.73
2013-03-12,7.824,6372130,7.78,7.876,7.77
2013-03-13,7.796,4109930,7.8,7.898,7.762
2013-03-14,7.37,10104055,7.78,7.782,7.354
2013-03-15,7.058,16397885,7.328,7.33,7.042
2013-03-18,7.03,6580180,7.06,7.212,6.984
2013-03-19,7.016,5418825,7.05,7.12,6.988
2013-03-20,7.19,7114920,7.052,7.214,7.032
2013-03-21,7.202,5731435,7.19,7.412,7.148
2013-03-22,7.324,2212675,7.24,7.36,7.24
2013-03-25,7.506,11876090,7.42,7.704,7.354
2013-03-26,7.572,9027935,7.596,7.644,7.532
2013-03-27,7.632,6481415,7.588,7.676,7.462
2013-03-28,7.578,5793260,7.646,7.648,7.55
2013-04-01,8.786,70442000,8.472,9.336,8.34
2013-04-02,8.868,33004990,8.72,9.1,8.702
2013-04-03,8.22,28216025,8.62,8.694,8.0421
2013-04-04,8.402,11323710,8.222,8.45,8.1622
2013-04-05,8.274,7760485,8.4,8.4,8.1
2013-04-08,8.366,8395005,8.394,8.51,8.302
2013-04-09,8.1,8480180,8.36,8.366,8.066
2013-04-10,8.372,10605440,8.14,8.402,8.122
2013-04-11,8.718,17231710,8.412,8.91,8.35
2013-04-12,8.75,15746860,8.65,9.0278,8.61
2013-04-15,8.66,8388900,8.7,8.76,8.502
2013-04-16,9.118,15901690,8.838,9.228,8.782
2013-04-17,9.09,10592140,9.1,9.19,8.908
2013-04-18,9.394,16839435,9.196,9.5198,9.078
2013-04-19,9.566,15057680,9.492,9.976,9.414
2013-04-22,10.038,19696635,9.72,10.04,9.55
2013-04-23,10.202,18666250,10.2,10.584,10.132
2013-04-24,10.086,13149540,10.18,10.21,9.796
2013-04-25,10.4,13978175,10.1,10.48,10.1
2013-04-26,10.24,18101750,10.626,10.748,10.124
2013-04-29,10.988,18191905,10.352,10.998,10.24
2013-04-30,10.798,27612740,11.2,11.636,10.752
2013-05-01,10.656,13712965,11.198,11.198,10.6
2013-05-02,10.822,15228345,10.77,11.054,10.74
2013-05-03,10.91,16891515,11.294,11.294,10.9
2013-05-06,11.9,21825150,11.278,11.932,11.1
2013-05-07,11.102,49925205,12.4,12.474,11.024
2013-05-08,11.1573,29194845,11.5,11.64,11.142
2013-05-09,13.88,142758300,14.024,15.154,12.738
2013-05-10,15.3528,125360250,13.93,16.2,13.85
2013-05-13,17.56,111717850,16.198,17.6,15.8302
2013-05-14,16.648,185516200,18.844,19.424,16.23
2013-05-15,16.9684,83214300,16.36,17.376,15.622
2013-05-16,18.4496,107889850,18.94,19.0,17.732
2013-05-17,18.3,94934400,18.5,18.888,17.5
2013-05-20,17.988,41631805,18.224,18.5,17.726
2013-05-21,17.518,44980230,17.7,17.998,17.056
2013-05-22,17.448,42821930,17.274,18.192,17.1
2013-05-23,18.546,60078500,16.961,18.602,16.61
2013-05-24,19.416,80389900,18.52,19.59,18.4
